year,country,segment,gm_target_pct
2026,Bolivia,B2B,69.9
2026,Bolivia,Equipment,3.1
2026,Bolivia,Home,62.1
2026,Bolivia,Mobile_Postpaid,78.1
2026,Bolivia,Mobile_Prepaid,80.0
2026,Bolivia,Tigo_Money,78.0
2026,Colombia,B2B,70.0
2026,Colombia,Equipment,3.0
2026,Colombia,Home,62.0
2026,Colombia,Mobile_Postpaid,78.0
2026,Colombia,Mobile_Prepaid,80.0
2026,Colombia,Tigo_Money,78.0
2026,Guatemala,B2B,70.0
2026,Guatemala,Equipment,3.3
2026,Guatemala,Home,61.9
2026,Guatemala,Mobile_Postpaid,78.0
2026,Guatemala,Mobile_Prepaid,80.0
2026,Guatemala,Tigo_Money,78.0
2026,Panama,B2B,70.1
2026,Panama,Equipment,3.4
2026,Panama,Home,62.1
2026,Panama,Mobile_Postpaid,78.1
2026,Panama,Mobile_Prepaid,80.0
2026,Panama,Tigo_Money,77.9
2026,Paraguay,B2B,69.9
2026,Paraguay,Equipment,3.0
2026,Paraguay,Home,62.0
2026,Paraguay,Mobile_Postpaid,78.1
2026,Paraguay,Mobile_Prepaid,80.1
2026,Paraguay,Tigo_Money,78.0
